,Unnamed: 0,Title,University,Link,Country,State,Location,Date
77,33,Quantum 2D Liouville Path-Integral Is a Sum over Geometries in AdS$_3$ Einstein Gravity,Tsinghua University,https://arxiv.org/pdf/2403.03179v1,China,,China,3.2024
78,34,Higher-order topological phases in crystalline and non-crystalline systems: a review,Tsinghua University,https://arxiv.org/pdf/2309.03688v3,China,,China,9.2023
79,35,Validating quantum-supremacy experiments with exact and fast tensor network contraction,Tsinghua University,https://arxiv.org/pdf/2212.04749v2,China,,China,12.2022
80,36,Quantum 2D Liouville Path-Integral Is a Sum over Geometries in AdS$_3$ Einstein Gravity,Yanqi Lake Beijing Institute,https://arxiv.org/pdf/2403.03179v1,China,,China,3.2024
81,37,Quantum 2D Liouville Path-Integral Is a Sum over Geometries in AdS$_3$ Einstein Gravity,Yau Mathematical Sciences Center,https://arxiv.org/pdf/2403.03179v1,China,,China,3.2024
82,38,Numerically efficient unitary evolution for Hamiltonians beyond nearest-neighbors,Institut Ruđer Bošković,https://arxiv.org/pdf/2402.05198v1,Croatia,,Croatia,2.2024
83,39,A joint optimization approach of parameterized quantum circuits with a tensor network,"Molecular Quantum Solutions ApS, Denmark",https://arxiv.org/pdf/2402.12105v1,Denmark,,Denmark,2.2024
84,40,Real-time scattering in the lattice Schwinger model,"Blackett Laboratory, Imperial College London",https://arxiv.org/pdf/2402.18429v1,England,,England,2.2024
85,41,Quantum-HPC Framework with multi-GPU-Enabled Hybrid Quantum-Classical Workflow: Applications in Quantum Simulations,"Centre for Quantum Engineering, Science and Technology (QuEST), Imperial College London",https://arxiv.org/pdf/2403.05828v1,England,,England,3.2024
86,42,Conditional Independence of 1D Gibbs States with Applications to Efficient Learning,"Department of Applied Mathematics and Theoretical Physics, University of Cambridge",https://arxiv.org/pdf/2402.18500v1,England,,England,2.2024
87,43,Quantum-HPC Framework with multi-GPU-Enabled Hybrid Quantum-Classical Workflow: Applications in Quantum Simulations,"Department of Materials, Imperial College London",https://arxiv.org/pdf/2403.05828v1,England,,England,3.2024
88,44,The Thermodynamic Limit of Spin Systems on Random Graphs,"Department of Physics, University of Oxford",https://arxiv.org/pdf/2303.00731v2,England,,England,3.2023
89,45,Combining Matrix Product States and Noisy Quantum Computers for Quantum Simulation,"National Physical Laboratory, Teddington",https://arxiv.org/pdf/2305.19231v2,England,,England,5.2023
90,46,Finite-Entanglement Scaling of 2D Metals,"Rudolf Peierls Centre for Theoretical Physics, University of Oxford",https://arxiv.org/pdf/2305.02091v2,England,,England,5.2023
91,47,From Non-Markovian Dissipation to Spatiotemporal Control of Quantum Nanodevices,"SUPA, School of Physics and Astronomy, University of St Andrews",https://arxiv.org/pdf/2205.11247v5,England,,England,5.2022
92,48,Tensor network noise characterization for near-term quantum computers,"Algorithmiq Ltd, Kanavakatu, Finland",https://arxiv.org/pdf/2402.08556v1,Finland,,Finland,2.2024
93,49,Tensor network noise characterization for near-term quantum computers,University of Helsinki,https://arxiv.org/pdf/2402.08556v1,Finland,,Finland,2.2024
94,50,Enabling large-depth simulation of noisy quantum circuits with positive tensor networks,"Eviden Quantum Laboratory, Les Clayes-sous-Bois",https://arxiv.org/pdf/2403.00152v1,France,,France,3.2024
95,51,Combining Matrix Product States and Noisy Quantum Computers for Quantum Simulation,"Eviden Quantum Laboratory, Les Clayes-sous-Bois",https://arxiv.org/pdf/2305.19231v2,France,,France,5.2023
